match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773656,Barcelona,40,50,112,tied,middle,medium,0.05442176870748299,0.061646851985005476,0.04673183822119993,0.11055213040176018,4.3408408408408405,0.133078231292517
3773656,Atlético Madrid,40,50,80,tied,middle,low,0.047619047619047616,0.016969317089314304,0.04364044571296777,0.0794328380472333,3.8016194331983804,0.11904761904761904
3773656,Barcelona,45,55,109,tied,middle,medium,0.06037414965986394,0.04236926103737391,0.045455790136641194,0.09272183441978998,4.07957957957958,0.10629251700680273
3773656,Atlético Madrid,45,55,97,tied,middle,low,0.055272108843537414,0.01261960357048145,0.04717460111531206,0.09044376476946618,3.752439024390244,0.06972789115646259
3773656,Barcelona,50,60,56,tied,middle,low,0.03741496598639456,0.02302363497425737,0.02590763255656873,0.05356968107996949,3.5689655172413794,0.0667517006802721
3773656,Atlético Madrid,50,60,46,tied,middle,low,0.03231292517006803,0.018321458389307526,0.03119757111263631,0.11762440922163685,3.7635467980295565,0.09268707482993196
3773656,Barcelona,55,65,53,tied,middle,low,0.03486394557823129,0.027210884353741496,0.025187976096664042,0.10290631742592057,3.9515669515669516,0.04846938775510204
3773656,Atlético Madrid,55,65,30,tied,middle,low,0.017006802721088437,0.008935219641117324,0.012924598730869727,0.14956403982711333,3.610294117647059,0.1288265306122449
3773656,Barcelona,60,70,60,tied,late,low,0.03741496598639456,0.06959022550805863,0.042042042042042045,0.08230254709966849,5.173387096774194,0.08758503401360544
3773656,Atlético Madrid,60,70,66,tied,late,low,0.036564625850340135,0.03985109692604147,0.03768007535460993,0.08499239817557397,4.054435483870968,0.10926870748299318
3773656,Barcelona,65,75,66,tied,late,low,0.04081632653061224,0.03299927494801414,0.05081378432442262,0.10590956590605814,4.723723723723723,0.08418367346938777
3773656,Atlético Madrid,65,75,78,tied,late,low,0.0467687074829932,0.08346914005980823,0.03884793988517393,0.08419801087998029,3.7058823529411766,0.0782312925170068
3773656,Barcelona,70,80,69,tied,late,low,0.04081632653061224,0.049189958604110295,0.03893965569497484,0.09124500867004535,4.59280303030303,0.10501700680272108
3773656,Atlético Madrid,70,80,50,tied,late,low,0.034013605442176874,0.044623970575728276,0.03231473440440006,0.0999450042145937,4.526455026455026,0.09098639455782313
3773656,Barcelona,75,85,51,tied,late,low,0.03486394557823129,0.04758062701767456,0.02084250071186867,0.08756005056720367,4.177536231884058,0.06930272108843537
3773656,Atlético Madrid,75,85,47,tied,late,low,0.031462585034013606,0.012856337243825237,0.06390366430260046,0.08192888461683719,6.037878787878788,0.05187074829931972
3773656,Barcelona,80,90,52,tied,late,low,0.03571428571428571,0.004081632653061224,0.052990965889902056,0.10331282098748386,5.176136363636363,0.06845238095238095
3773656,Atlético Madrid,80,90,45,tied,late,low,0.030612244897959183,0.0,0.04381965552178318,0.12897158033087472,4.894623655913978,0.05272108843537415
3773377,Barcelona,0,10,138,tied,early,medium,0.070578231292517,0.09112442313704451,0.03730937077845322,0.10733072483253832,3.6728307254623043,0.116921768707483
3773377,Valencia,0,10,39,tied,early,low,0.025510204081632654,0.019387755102040816,0.021139395474501856,0.13161104005894314,3.7028985507246377,0.09948979591836735
3773377,Barcelona,5,15,76,tied,early,low,0.045068027210884355,0.013284881818619412,0.06482032041540021,0.08933188227925583,5.2987179487179485,0.07993197278911565
3773377,Valencia,5,15,46,tied,early,low,0.030612244897959183,0.024489795918367346,0.029102470041574957,0.14442925854392571,3.8547008547008548,0.09438775510204082
3773377,Barcelona,10,20,82,tied,early,low,0.04846938775510204,0.05583231642712199,0.04361322758929142,0.11143050916085419,4.430930930930931,0.13903061224489796
3773377,Valencia,10,20,37,tied,early,low,0.026360544217687076,0.01897878622341707,0.029761904761904764,0.1138857204268232,3.9015384615384616,0.09863945578231292
3773377,Barcelona,15,25,127,tied,early,medium,0.06802721088435375,0.07025283694391518,0.036029783192903765,0.10688232655204256,3.443994601889339,0.14030612244897958
3773377,Valencia,15,25,31,tied,early,low,0.021258503401360544,0.009312576070963724,0.02725100215849522,0.13567503108973944,3.9683794466403164,0.08290816326530612
3773377,Barcelona,20,30,80,tied,early,low,0.045068027210884355,0.021171504056132405,0.04574545850441708,0.09119859412128342,4.319047619047619,0.07993197278911565
3773377,Valencia,20,30,29,tied,early,low,0.02040816326530612,0.0,0.0035460992907801418,0.08817641295935212,3.1636363636363636,0.04209183673469388
3773377,Barcelona,25,35,29,tied,early,low,0.02040816326530612,0.017006802721088433,0.012377250409165302,0.12601482626674887,3.4836601307189543,0.06292517006802721
3773377,Valencia,25,35,27,tied,early,low,0.017857142857142856,0.045918367346938764,0.014063507414571247,0.1668992986741905,3.676470588235294,0.06547619047619047
3773377,Barcelona,30,40,68,tied,middle,low,0.03741496598639456,0.020805408418444343,0.03208727344365642,0.09314845627349261,3.829885057471264,0.10841836734693876
3773377,Valencia,30,40,23,tied,middle,low,0.015306122448979591,0.0,0.004388297872340426,0.15462101728533184,2.4696969696969697,0.06802721088435373
3773377,Barcelona,35,45,95,tied,middle,low,0.04846938775510204,0.042373856039438274,0.036616060874704495,0.08378882231459277,4.258823529411765,0.11819727891156462
3773377,Valencia,35,45,23,tied,middle,low,0.016156462585034014,0.01499906011779611,0.0028744895766172366,0.12662728657160216,2.2545454545454544,0.108843537414966
3773377,Barcelona,40,50,105,tied,middle,medium,0.05697278911564626,0.058293962462107336,0.058147077126096035,0.07244890144221976,4.967884828349945,0.1096938775510204
3773377,Valencia,40,50,33,tied,middle,low,0.021258503401360544,0.0,0.03215945218879922,0.08955466434739356,5.796536796536796,0.06207482993197279
3773377,Barcelona,45,55,107,tied,middle,medium,0.04846938775510204,0.043874560331296594,0.053729135948907616,0.08036391410117111,5.4935988620199145,0.11819727891156462
3773377,Valencia,45,55,41,tied,middle,low,0.025510204081632654,0.013265306122448977,0.026398739164696608,0.1366566636949903,3.7733333333333334,0.09948979591836735
3773377,Barcelona,50,60,55,tied,middle,low,0.02976190476190476,0.006462585034013605,0.04263378465506125,0.07922969207668125,5.491954022988506,0.07440476190476189
3773377,Valencia,50,60,57,tied,middle,low,0.03571428571428571,0.02582739586132043,0.029865332657885844,0.11909212119535544,4.485221674876847,0.08928571428571429
3773377,Barcelona,55,65,73,tied,middle,low,0.03741496598639456,0.017932014417264674,0.03443705673758866,0.10823541965810908,4.045977011494253,0.10841836734693877
3773377,Valencia,55,65,46,tied,middle,low,0.02976190476190476,0.002947845804988662,0.026519756838905777,0.090459513280874,4.7407407407407405,0.07440476190476189
3773377,Barcelona,60,70,111,tied,late,medium,0.05187074829931973,0.05656796275098477,0.04189005685016324,0.09227658063041415,3.958730158730159,0.11479591836734693
3773377,Valencia,60,70,25,tied,late,low,0.015306122448979591,0.0,0.011778115501519757,0.1305182285967738,3.980952380952381,0.1096938775510204
3773377,Barcelona,65,75,74,tied,late,low,0.04251700680272109,0.02070320036663145,0.062381796690307315,0.08502581682276954,5.531713900134953,0.06164965986394558
3773377,Valencia,65,75,36,tied,late,low,0.01870748299319728,0.008570891495883491,0.003191489361702127,0.11052656655931863,2.6363636363636362,0.06462585034013604
3773377,Barcelona,70,80,56,tied,late,low,0.03826530612244898,0.03936895211929939,0.04305555555555555,0.13123678314462764,4.151260504201681,0.08673469387755102
3773377,Valencia,70,80,27,tied,late,low,0.016156462585034014,0.0,0.0049722479185938945,0.13109882937370781,2.878787878787879,0.06717687074829931
3773377,Barcelona,75,85,53,tied,late,low,0.034013605442176874,0.049107151749447964,0.04532642298599746,0.09830457873147257,5.747983870967742,0.07015306122448979
